strategy,param_rr_ratio,param_delta_thresh,param_volume_mult,total_trades,win_rate,profit_factor,expectancy,max_drawdown,max_drawdown_pct,avg_mfe,avg_mae,param_lookback,param_delta_min_change
Absorcion Long,1.5,0.4,1.5,19,0.21052631578947367,0.4868270045014975,-145.44078947368268,3406.084999999992,529.9567456550981,348.73052631578895,1102.8457894736846,,
Absorcion Long,1.5,0.4,1.8,19,0.21052631578947367,0.4868270045014975,-145.44078947368268,3406.084999999992,529.9567456550981,348.73052631578895,1102.8457894736846,,
Absorcion Long,1.5,0.4,2.0,19,0.21052631578947367,0.4868270045014975,-145.44078947368268,3406.084999999992,529.9567456550981,348.73052631578895,1102.8457894736846,,
Absorcion Long,1.5,0.46,1.5,29,0.20689655172413793,0.3443535074236747,-230.4956896551709,7474.13499999998,946.3805459886237,417.0662068965507,1131.6724137931035,,
Absorcion Long,1.5,0.46,1.8,29,0.20689655172413793,0.3443535074236747,-230.4956896551709,7474.13499999998,946.3805459886237,417.0662068965507,1131.6724137931035,,
Absorcion Long,1.5,0.46,2.0,29,0.20689655172413793,0.3443535074236747,-230.4956896551709,7474.13499999998,946.3805459886237,417.0662068965507,1131.6724137931035,,
Absorcion Long,1.5,0.5,1.5,35,0.2,0.30975765204851136,-273.22671428571357,10352.695,1310.8659592787285,392.4828571428566,1214.5522857142857,,
Absorcion Long,1.5,0.5,1.8,35,0.2,0.30975765204851136,-273.22671428571357,10352.695,1310.8659592787285,392.4828571428566,1214.5522857142857,,
Absorcion Long,1.5,0.5,2.0,35,0.2,0.30975765204851136,-273.22671428571357,10352.695,1310.8659592787285,392.4828571428566,1214.5522857142857,,
Absorcion Long,2.0,0.4,1.5,19,0.15789473684210525,0.4486361179068543,-158.35315789473566,3799.029999999999,480.69516145357517,348.73052631578895,1102.8457894736846,,
Absorcion Long,2.0,0.4,1.8,19,0.15789473684210525,0.4486361179068543,-158.35315789473566,3799.029999999999,480.69516145357517,348.73052631578895,1102.8457894736846,,
Absorcion Long,2.0,0.4,2.0,19,0.15789473684210525,0.4486361179068543,-158.35315789473566,3799.029999999999,480.69516145357517,348.73052631578895,1102.8457894736846,,
Absorcion Long,2.0,0.46,1.5,29,0.13793103448275862,0.2630919130723809,-261.4737931034474,8520.11,908.937772704458,417.0662068965507,1131.6724137931035,,
Absorcion Long,2.0,0.46,1.8,29,0.13793103448275862,0.2630919130723809,-261.4737931034474,8520.11,908.937772704458,417.0662068965507,1131.6724137931035,,
Absorcion Long,2.0,0.46,2.0,29,0.13793103448275862,0.2630919130723809,-261.4737931034474,8520.11,908.937772704458,417.0662068965507,1131.6724137931035,,
Absorcion Long,2.0,0.5,1.5,35,0.14285714285714285,0.23121358690860117,-306.4011428571423,11661.410000000003,1244.0562424655898,392.4828571428566,1214.5522857142857,,
Absorcion Long,2.0,0.5,1.8,35,0.14285714285714285,0.23121358690860117,-306.4011428571423,11661.410000000003,1244.0562424655898,392.4828571428566,1214.5522857142857,,
Absorcion Long,2.0,0.5,2.0,35,0.14285714285714285,0.23121358690860117,-306.4011428571423,11661.410000000003,1244.0562424655898,392.4828571428566,1214.5522857142857,,
Absorcion Long,2.5,0.4,1.5,19,0.15789473684210525,0.37988674784903714,-178.0981578947356,3912.2399999999907,740.428672817579,348.73052631578895,1102.8457894736846,,
Absorcion Long,2.5,0.4,1.8,19,0.15789473684210525,0.37988674784903714,-178.0981578947356,3912.2399999999907,740.428672817579,348.73052631578895,1102.8457894736846,,
Absorcion Long,2.5,0.4,2.0,19,0.15789473684210525,0.37988674784903714,-178.0981578947356,3912.2399999999907,740.428672817579,348.73052631578895,1102.8457894736846,,
Absorcion Long,2.5,0.46,1.5,29,0.13793103448275862,0.22663348863064464,-274.4101724137922,8520.11,1515.4540522753061,417.0662068965507,1131.6724137931035,,
Absorcion Long,2.5,0.46,1.8,29,0.13793103448275862,0.22663348863064464,-274.4101724137922,8520.11,1515.4540522753061,417.0662068965507,1131.6724137931035,,
Absorcion Long,2.5,0.46,2.0,29,0.13793103448275862,0.22663348863064464,-274.4101724137922,8520.11,1515.4540522753061,417.0662068965507,1131.6724137931035,,
