timestamp,type,price_open,price_high,price_low,price_close,poc,volume,delta,delta_normalized,body_ratio,lower_wick_ratio,entry_trigger,stop_loss,target,exit_time,exit_price,exit_reason,pnl,max_profit,max_loss,mae,mfe,upper_wick_ratio,price_bin,imbalance_ratio,buy_volume,sell_volume,streak
2026-02-01 00:30:00,IMBALANCE_SHORT,,,,,,,,,,,78850.0,79638.5,77273.0,2026-02-01 05:30:00,78863.0,TIME_EXIT,-13.0,882.3099999999977,269.3000000000029,269.3000000000029,882.3099999999977,,78850.0,3.2046839878040947,0.99744,3.19648,3.0
2026-02-01 01:00:00,IMBALANCE_LONG,,,,,,,,,,,78790.0,78002.1,80365.8,2026-02-01 04:00:00,78002.1,STOP_LOSS,-787.8999999999942,329.3000000000029,822.3099999999977,822.3099999999977,329.3000000000029,,78790.0,21.923583482521455,1.0643900000000002,0.04855,3.0
2026-02-01 01:15:00,IMBALANCE_LONG,,,,,,,,,,,78970.0,78180.3,80549.4,2026-02-01 04:00:00,78180.3,STOP_LOSS,-789.6999999999971,91.39999999999418,1002.3099999999977,1002.3099999999977,91.39999999999418,,78970.0,3.7457113206138946,27.36346999999998,7.30528,3.0
2026-02-01 01:30:00,IMBALANCE_LONG,,,,,,,,,,,78930.0,78140.7,80508.6,2026-02-01 04:00:00,78140.7,STOP_LOSS,-789.3000000000029,131.39999999999418,962.3099999999977,962.3099999999977,131.39999999999418,,78930.0,3.1880458121463064,3.3512100000000005,1.05118,3.0
2026-02-01 05:00:00,IMBALANCE_SHORT,,,,,,,,,,,78390.0,79173.9,76822.2,2026-02-01 07:00:00,79173.9,STOP_LOSS,-783.8999999999942,241.89999999999418,830.7200000000012,830.7200000000012,241.89999999999418,,78390.0,3.0737777930293273,0.38128000000000006,1.17197,3.0
2026-02-01 06:00:00,IMBALANCE_SHORT,,,,,,,,,,,78630.0,79416.3,77057.4,2026-02-01 11:00:00,78188.32,TIME_EXIT,441.679999999993,520.0,590.7200000000012,590.7200000000012,520.0,,78630.0,6.085362816203181,0.1626,0.98948,3.0
2026-02-01 06:30:00,IMBALANCE_LONG,,,,,,,,,,,78770.0,77982.3,80345.4,2026-02-01 11:15:00,77982.3,STOP_LOSS,-787.6999999999971,450.72000000000116,1533.320000000007,1533.320000000007,450.72000000000116,,78770.0,7.80255426218882,0.06718,0.008610000000000001,3.0
2026-02-01 06:45:00,IMBALANCE_LONG,,,,,,,,,,,78780.0,77992.2,80355.6,2026-02-01 11:15:00,77992.2,STOP_LOSS,-787.8000000000029,440.72000000000116,1543.320000000007,1543.320000000007,440.72000000000116,,78780.0,5.036360709460457,0.6343799999999999,0.12596000000000002,3.0
2026-02-01 07:00:00,IMBALANCE_LONG,,,,,,,,,,,79100.0,78309.0,80682.0,2026-02-01 07:45:00,78309.0,STOP_LOSS,-791.0,75.7899999999936,1863.320000000007,1863.320000000007,75.7899999999936,,79100.0,3.385810627630507,2.5603499999999997,0.7562,3.0
2026-02-01 07:30:00,IMBALANCE_SHORT,,,,,,,,,,,78630.0,79416.3,77057.4,2026-02-01 12:15:00,77057.4,TARGET,1572.6000000000058,1868.020000000004,247.88999999999942,247.88999999999942,1868.020000000004,,78630.0,14.444255848507424,0.0531,0.7669900000000001,4.0
